activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,max_squared
SC,0,3,AD,H,9.49,9.39,9.441259999999968,0.0139068040324438,9.44,9.49,0.0999999999999996,0.08541,0.0098335954359734,965.0590225914212,1.0051624465378597,0.0090464620188407,1.005162446527213,90.0601
SC,0,3,AD,H,9.48,9.4,9.440099999999974,0.013848232634318,9.44,9.48,0.08,0.08532,0.0097921792031751,968.119537367749,1.0042266501414208,0.0090380398512727,1.0042266501307828,89.8704
SC,0,3,AD,H,9.48,9.4,9.441959999999971,0.0143586469238215,9.44,9.48,0.08,0.08532,0.0101530966084975,933.7052886964316,1.0040288245237248,0.0090362594207135,1.004028824513091,89.8704
SC,0,3,AD,H,9.49,9.4,9.44133999999997,0.0138848831453463,9.44,9.49,0.0899999999999998,0.08541,0.0098180950280572,966.582618408194,1.0051539294210388,0.0090463853647893,1.0051539294103924,90.0601
SC,0,3,AD,H,9.48,9.4,9.44111999999997,0.0134576303869316,9.44,9.48,0.08,0.08532,0.0095159817053015,996.218813106644,1.0041181554730827,0.0090370633992577,1.0041181554624472,89.8704
SC,0,3,AD,H,9.48,9.41,9.442119999999973,0.0139533146592472,9.44,9.48,0.0700000000000002,0.08532,0.0098664834155834,960.8286560363568,1.0040118109068756,0.0090361062981618,1.004011810896242,89.8704
PUF,0,2,AW,H,9.51,9.41,9.45875999999997,0.0155481796935711,9.46,9.51,0.0999999999999996,0.0855899999999999,0.0109942232964311,864.9997133573828,1.0054172005632906,0.0090487548050696,1.0054172005526611,90.4401
PUF,0,2,AW,H,9.51,9.42,9.458939999999956,0.0153996980945347,9.46,9.51,0.0899999999999998,0.0855899999999999,0.010889230950871,873.3399119649725,1.0053980678596166,0.0090485826107365,1.0053980678489876,90.4401
PUF,0,2,AW,H,9.5,9.4,9.45767999999996,0.014786984473504,9.46,9.5,0.0999999999999996,0.0854999999999999,0.0104559769945149,908.5712415954606,1.004474670320844,0.0090402720328875,1.0044746703102232,90.25
PUF,0,2,AW,H,9.5,9.42,9.457639999999971,0.0144792851825913,9.46,9.5,0.08,0.0854999999999999,0.0102384007393442,927.8792891445734,1.0044789186308665,0.0090403102676777,1.004478918620246,90.25
