activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin
RBS,0,3,AD,H,197.0,-154.0,-0.312,31.59238537412543,0.0,197.0,351.0,1.773,22.339189931902794,8.818582974607443,-631.4102564102565,-5.6826923076923075,-631.4102566126315
RBS,0,3,AD,H,198.0,-116.0,-0.036,24.653403103205417,0.0,198.0,314.0,1.7819999999999998,17.432588513602024,11.358037840766315,-5500.0,-49.5,-5500.000015277778
RBS,0,3,AD,H,340.0,-243.0,0.134,32.07206383376527,0.0,340.0,583.0,3.0599999999999996,22.678373823503243,14.992256616196764,2537.3134328358205,22.835820895522385,2537.313430942303
RBS,0,3,AD,H,594.0,-224.0,1.264,46.63474995974155,0.0,594.0,818.0,5.345999999999999,32.97574793547232,18.013238127679543,469.9367088607595,4.229430379746835,469.93670882358094
K,0,3,AW,H,425.0,-913.0,-1.428,90.4514441205168,-0.5,913.0,1338.0,8.216999999999999,63.9588295057335,14.274807826465233,-639.3557422969188,-5.754201680672268,-639.3557423416917
K,0,3,AW,H,160.0,-277.0,-0.116,35.92436030504445,-1.5,277.0,437.0,2.493,25.40235878148576,10.904499160207457,-2387.9310344827586,-21.491379310344826,-2387.93103654132
K,0,3,AW,H,602.0,-820.0,-1.748,84.87324331532126,-1.0,820.0,1422.0,7.379999999999999,60.014445889559475,13.663377006079346,-469.1075514874142,-4.221967963386727,-469.107551514251
K,0,3,AW,H,189.0,-219.0,-0.15,33.78778965038876,-1.0,219.0,408.0,1.9709999999999999,23.891575183094538,9.166411101891784,-1460.0,-13.139999999999999,-1460.0000009733335
K,0,3,AW,H,539.0,-535.0,1.036,75.33996897963061,-2.0,539.0,1074.0,4.851,53.27340295988094,10.117619112972928,520.2702702702702,4.6824324324324325,520.2702702200511
K,0,3,AW,H,176.0,-354.0,-2.36,28.70942113180701,-1.5,354.0,530.0,3.186,20.3006263662411,17.437885590992593,-150.0,-1.35,-150.00000000635595
K,0,3,AW,H,776.0,-1127.0,-1.378,111.19892768834634,-1.0,1127.0,1903.0,10.142999999999999,78.62951582910223,14.333040056478087,-817.8519593613934,-7.36066763425254,-817.851959420744
K,0,3,AW,H,273.0,-324.0,-0.852,33.40259814933941,-1.0,324.0,597.0,2.916,23.61920366064712,13.717651308449026,-380.28169014084506,-3.4225352112676055,-380.2816901854791
K,0,3,AW,H,583.0,-859.0,-1.146,76.94143651704597,-1.0,859.0,1442.0,7.730999999999999,54.405811515437456,15.788754474441793,-749.56369982548,-6.7460732984293195,-749.5636998908869
K,0,3,AW,H,677.0,-1357.0,-1.41,113.33581920924938,-1.0,1357.0,2034.0,12.213,80.14052631419281,16.9327562771406,-962.4113475177305,-8.661702127659574,-962.4113475859867
K,0,3,AW,H,418.0,-538.0,-0.298,56.09386990109492,-1.0,538.0,956.0,4.842,39.664355790060185,13.563815402614502,-1805.3691275167787,-16.248322147651006,-1805.3691281226072
K,0,3,AW,H,215.0,-294.0,-0.394,41.15446688135538,-1.0,294.0,509.0,2.646,29.100602607923577,10.102883571213368,-746.1928934010152,-6.715736040609136,-746.1928935904043
K,0,3,AW,H,493.0,-562.0,-0.178,82.70534846870946,0.0,562.0,1055.0,5.058,58.4815127426209,9.609874533741644,-3157.303370786517,-28.415730337078653,-3157.303372560283
K,0,3,AW,H,394.0,-628.0,-0.516,47.5787054302746,-1.0,628.0,1022.0,5.651999999999999,33.64322524982438,18.666462425545188,-1217.0542635658915,-10.953488372093021,-1217.0542638017546
K,0,3,AW,H,571.0,-941.0,-0.274,90.04033233442549,-1.0,941.0,1512.0,8.469,63.66812957396262,14.779765108488855,-3434.3065693430653,-30.908759124087588,-3434.3065705964623
K,0,3,AW,H,198.0,-258.0,-1.696,30.064719501725524,-1.0,258.0,456.0,2.3219999999999996,21.258967034141556,12.136055321298358,-152.12264150943398,-1.3691037735849054,-152.12264151840347
K,0,3,AW,H,618.0,-435.0,-2.212,68.56621403734371,-1.0,618.0,1053.0,5.561999999999999,48.48363490609398,12.746569047411143,-279.38517179023506,-2.514466546112115,-279.3851718028655
K,0,3,AW,H,220.0,-276.0,-1.258,29.96229153165117,0.0,276.0,496.0,2.484,21.18653952191881,13.02713922273435,-219.39586645468998,-1.9745627980922098,-219.39586647213002
K,0,3,AW,H,522.0,-350.0,-1.844,79.36895189587739,-2.0,522.0,872.0,4.6979999999999995,56.122324101243784,9.301111605041877,-283.0802603036876,-2.5477223427331883,-283.08026031903904
K,0,3,AW,H,534.0,-408.0,-1.478,68.28618837690453,0.0,534.0,942.0,4.806,48.285626862691196,11.059191620697488,-361.29905277401895,-3.2516914749661705,-361.29905279846406
K,0,2,AW,H,1659.0,-1443.0,-2.262,180.5035079680657,-2.0,1659.0,3102.0,14.931,127.63525451217926,12.997976196629077,-733.42175066313,-6.60079575596817,-733.4217506955536
K,0,2,AW,H,788.0,-771.0,-0.42,98.1916840349897,-3.0,788.0,1559.0,7.092,69.43200563726808,11.349232861235913,-1876.1904761904761,-16.885714285714286,-1876.1904766371883
K,0,2,AW,H,2787.0,-1720.0,-2.832,291.18755495439814,-2.0,2787.0,4507.0,25.083,205.90069470538538,13.535651271054723,-984.1101694915254,-8.856991525423728,-984.1101695262752
K,0,2,AW,H,2078.0,-830.0,-3.414,145.87423758286027,-2.0,2078.0,2908.0,18.701999999999998,103.14866259525802,20.145680493733618,-608.6701816051552,-5.478031634446396,-608.6701816229838
K,0,2,AW,H,1926.0,-1386.0,-1.878,242.3387944564328,1.0,1926.0,3312.0,17.334,171.35940490471654,11.239534830731595,-1025.55910543131,-9.23003194888179,-1025.5591054859192
K,0,2,AW,H,2979.0,-2607.0,-1.66,215.8605938840713,-2.0,2979.0,5586.0,26.810999999999996,152.6364897263822,19.516958266926782,-1794.578313253012,-16.15120481927711,-1794.5783133611192
K,0,2,AW,H,3848.0,-1950.0,-2.178,269.9943113703411,-3.0,3848.0,5798.0,34.632,190.91480845176036,20.15558683585458,-1766.7584940312213,-15.900826446280991,-1766.7584941123398
K,0,2,AW,H,1301.0,-1141.0,-2.194,166.98239009309455,-2.0,1301.0,2442.0,11.709,118.07438037356452,11.01847831751382,-592.9808568824066,-5.336827711941659,-592.980856909434
K,0,2,AW,H,1296.0,-1062.0,-3.206,176.53666461079357,-2.0,1296.0,2358.0,11.664,124.83027267434733,10.382097004473888,-404.24204616344355,-3.6381784154709917,-404.2420461760525
K,0,2,AW,H,1497.0,-886.0,-3.474,147.0740182959432,-3.5,1497.0,2383.0,13.472999999999999,103.9970356734158,14.39464106170355,-430.91537132987906,-3.8782383419689115,-430.9153713422831
K,0,2,AW,H,938.0,-839.0,-1.912,134.68529434584184,-1.0,938.0,1777.0,8.442,95.23688495805092,9.849125162096195,-490.58577405857744,-4.415271966527197,-490.58577408423565
K,0,2,AW,H,763.0,-1157.0,-2.378,107.45438103682892,-2.0,1157.0,1920.0,10.412999999999998,75.98172149934489,15.22734648766777,-486.5433137089991,-4.378889823380992,-486.5433137294593
K,0,2,AW,H,1931.0,-1423.0,-1.566,187.95471687401297,-3.0,1931.0,3354.0,17.378999999999998,132.90405485761218,14.5292782983092,-1233.0779054916986,-11.097701149425285,-1233.0779055704393
K,0,2,AW,H,3528.0,-2168.0,-0.276,296.6247398592929,-3.0,3528.0,5696.0,31.752,209.74536502220158,16.82039552877157,-12782.608695652172,-115.04347826086955,-12782.608700283554
K,0,2,AW,H,7600.0,-4920.0,-5.132,514.4687967814214,-2.0,7600.0,12520.0,68.39999999999999,363.78437491302685,20.89149651305667,-1480.9041309431022,-13.328137178487918,-1480.9041309719585
K,0,2,AW,H,1537.0,-670.0,-0.096,127.10700675546043,-3.0,1537.0,2207.0,13.832999999999998,89.87822641311037,17.100915998669514,-16010.416666666666,-144.09374999999997,-16010.416683344183
K,0,2,AW,H,5405.0,-3054.0,-2.86,334.39862032393177,-2.0,5405.0,8459.0,48.644999999999996,236.45553205047779,22.85842057967228,-1889.86013986014,-17.008741258741257,-1889.860139926219
K,0,2,AW,H,1174.0,-1134.0,-1.192,197.6743824042909,-2.0,1174.0,2308.0,10.565999999999999,139.77689626493682,8.399099074104274,-984.8993288590605,-8.864093959731543,-984.8993289416862
K,0,2,AW,H,1759.0,-974.0,-1.318,168.5312744178772,-3.0,1759.0,2733.0,15.831,119.16960698289188,14.76047496114109,-1334.597875569044,-12.011380880121395,-1334.5978756703032
K,0,2,AW,H,1061.0,-998.0,-2.93,130.09649994752817,-4.0,1061.0,2059.0,9.549,91.99211732153249,11.533596909087045,-362.1160409556314,-3.2590443686006823,-362.1160409679903
LAF,1,1,AW,H,12902.0,-18151.0,43.27,1722.14327162289,0.0,18151.0,31053.0,163.35899999999998,1217.7391855393319,14.905490613707231,419.48232031430547,3.775340882828749,419.482320313336
LAF,1,1,AW,H,20300.0,-16385.0,41.024,2206.3993209187456,1.0,20300.0,36685.0,182.7,1560.1599218270385,13.011486653385836,494.8322932917317,4.453490639625585,494.83229329052546
LAF,1,1,AW,H,24836.0,-14992.0,-7.366,2113.057448249622,1.0,24836.0,39828.0,223.52399999999997,1494.15725069405,16.62207909406018,-3371.7078468639697,-30.345370621775725,-3371.7078469097437
LAF,1,1,AW,H,10429.0,-9666.0,-1.458,1549.1605303950485,0.0,10429.0,20095.0,93.86099999999999,1095.4219161888873,9.520532541729512,-7152.9492455418385,-64.37654320987654,-7152.949246032438
LAF,1,1,AW,H,13392.0,-10501.0,20.782,1358.9182300594748,0.5,13392.0,23893.0,120.52799999999999,960.9002955530755,13.936929837545556,644.40381099028,5.79963429891252,644.4038109871793
LAF,1,1,AW,H,8791.0,-5978.0,9.282,937.8440838044744,2.5,8791.0,14769.0,79.119,663.1559113538285,13.256309488447792,947.101917690153,8.523917259211377,947.1019176799493
LAF,1,1,AW,H,27575.0,-24429.0,22.342,2125.482743006312,1.0,27575.0,52004.0,248.17499999999998,1502.943260874747,18.347332675719723,1234.222540506669,11.10800286456002,1234.222540501145
LAF,1,1,AW,H,23732.0,-15544.0,47.056,2078.2402175079123,0.0,23732.0,39276.0,213.588,1469.5377507344501,16.149295918488075,504.33526011560696,4.539017341040463,504.3352601145352
LAF,1,1,AW,H,23632.0,-11628.0,12.764,1767.8873821303753,2.0,23632.0,35260.0,212.688,1250.0851562785215,18.904312143303894,1851.4572234409277,16.663115010968347,1851.4572234264224
LAF,1,1,AW,H,26347.0,-29659.0,4.472,2482.2753447170157,1.0,29659.0,56006.0,266.931,1755.2337290215767,16.89746471345037,6632.1556350626115,59.689400715563494,6632.1556349143075
SC,0,2,AD,H,132.0,-159.0,-0.208,19.879817662659818,0.0,159.0,291.0,1.4309999999999998,14.057153878018857,11.310966741897019,-764.4230769230769,-6.879807692307692,-764.4230772905881
SC,0,2,AD,H,499.0,-330.0,-1.402,39.59459381935164,0.0,499.0,829.0,4.491,27.9976057879905,17.822952568824466,-355.9201141226819,-3.2032810271041368,-355.9201141480685
SC,0,2,AD,H,247.0,-425.0,-1.298,36.78433594264661,0.0,425.0,672.0,3.8249999999999997,26.010453386489466,16.33958446186703,-327.4268104776579,-2.9468412942989213,-327.4268105028834
SC,0,2,AD,H,162.0,-144.0,1.052,17.702543775181702,0.0,162.0,306.0,1.458,12.517588747682685,12.941789610238649,153.99239543726236,1.3859315589353611,153.9923954226243
SC,0,2,AD,H,184.0,-316.0,-0.5,29.59854976678069,0.0,316.0,500.0,2.844,20.929335253378127,15.098425065793506,-632.0,-5.688,-632.0000001264
SC,0,2,AD,H,368.0,-173.0,0.526,26.81087409876596,1.0,368.0,541.0,3.312,18.958150884776174,19.411175817548344,699.6197718631179,6.2965779467680605,699.6197717301103
SC,0,2,AD,H,327.0,-135.0,1.088,25.556731972186828,0.0,327.0,462.0,2.9429999999999996,18.07133848250035,18.094951866274613,300.55147058823525,2.7049632352941173,300.55147056061105
SC,0,2,AD,H,159.0,-233.0,0.996,24.30187536575285,1.0,233.0,392.0,2.097,17.18402086667415,13.559108302287319,233.93574297188755,2.105421686746988,233.93574294840002
SC,0,2,AD,H,139.0,-168.0,-0.094,22.50293153915088,0.0,168.0,307.0,1.5119999999999998,15.911975487910219,10.558085646100004,-1787.2340425531916,-16.085106382978722,-1787.234044454504
SC,0,2,AD,H,292.0,-321.0,-0.08,24.08139171338956,0.0,321.0,613.0,2.889,17.02811538094729,18.851176000320386,-4012.5,-36.1125,-4012.5000050156245
SC,0,3,AD,H,114.0,-59.0,0.436,13.400038285471583,0.0,114.0,173.0,1.026,9.475257939816313,12.031334737702139,261.4678899082569,2.353211009174312,261.4678898482872
